label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Trash,672,515,127,188,image_20250419_155121.jpg,1280,720
Trash,277,660,259,58,image_20250419_155121.jpg,1280,720
Trash,1,656,22,64,image_20250419_155121.jpg,1280,720
Trash,817,522,117,56,image_20250419_155156.jpg,1280,720
Trash,577,509,222,114,image_20250419_163946.jpg,1280,720
Trash,575,500,220,130,image_20250419_163951.jpg,1280,720
Trash,577,502,222,127,image_20250419_163956.jpg,1280,720
Trash,929,518,263,130,image_20250419_163956.jpg,1280,720
Trash,407,474,283,151,image_20250419_164001.jpg,1280,720
Trash,847,496,317,155,image_20250419_164001.jpg,1280,720
Trash,5,425,274,214,image_20250419_164006.jpg,1280,720
Trash,501,457,350,194,image_20250419_164006.jpg,1280,720
Trash,822,444,458,259,image_20250419_164011.jpg,1280,720
Trash,766,490,65,63,image_20250419_164011.jpg,1280,720
Trash,175,414,503,274,image_20250419_164016.jpg,1280,720
Trash,928,468,352,242,image_20250419_164016.jpg,1280,720
Trash,171,412,505,276,image_20250419_164021.jpg,1280,720
Trash,45,466,130,58,image_20250419_164027.jpg,1280,720
Trash,339,468,145,76,image_20250419_164027.jpg,1280,720
Trash,41,464,132,67,image_20250419_164032.jpg,1280,720
Trash,192,464,224,104,image_20250419_164032.jpg,1280,720
Trash,404,472,82,71,image_20250419_164032.jpg,1280,720
Trash,723,492,110,73,image_20250419_164037.jpg,1280,720
Trash,1092,502,188,149,image_20250419_164037.jpg,1280,720
Trash,725,494,106,67,image_20250419_164042.jpg,1280,720
Trash,1090,505,190,151,image_20250419_164042.jpg,1280,720
Trash,879,485,199,95,image_20250419_164047.jpg,1280,720
Trash,771,479,294,145,image_20250419_164052.jpg,1280,720
Trash,1075,487,205,160,image_20250419_164057.jpg,1280,720
Trash,499,457,376,209,image_20250419_164102.jpg,1280,720
Trash,490,474,19,99,image_20250419_164102.jpg,1280,720
Trash,24,399,376,235,image_20250419_164107.jpg,1280,720
Trash,503,466,378,207,image_20250419_164107.jpg,1280,720
Trash,490,479,17,108,image_20250419_164107.jpg,1280,720
Trash,250,459,298,171,image_20250419_164112.jpg,1280,720
Trash,546,472,376,173,image_20250419_164112.jpg,1280,720
Trash,246,457,304,177,image_20250419_164117.jpg,1280,720
Trash,553,466,369,181,image_20250419_164117.jpg,1280,720
Trash,248,459,300,171,image_20250419_164122.jpg,1280,720
Trash,544,472,386,175,image_20250419_164122.jpg,1280,720
Trash,512,442,557,272,image_20250419_164127.jpg,1280,720
Trash,1241,496,39,149,image_20250419_164127.jpg,1280,720
Trash,611,500,158,86,image_20250419_164142.jpg,1280,720
Trash,391,483,199,99,image_20250419_164147.jpg,1280,720
Trash,997,483,283,237,image_20250419_164147.jpg,1280,720
Trash,395,487,186,97,image_20250419_164152.jpg,1280,720
Trash,991,479,289,241,image_20250419_164152.jpg,1280,720
Trash,494,496,147,80,image_20250419_164202.jpg,1280,720
Trash,853,511,194,97,image_20250419_164202.jpg,1280,720
Trash,494,490,244,130,image_20250419_164207.jpg,1280,720
Trash,928,509,250,125,image_20250419_164207.jpg,1280,720
Trash,58,461,378,166,image_20250419_164212.jpg,1280,720
Trash,589,483,261,134,image_20250419_164212.jpg,1280,720
Trash,434,483,138,127,image_20250419_164212.jpg,1280,720
Trash,397,490,192,93,image_20250419_164217.jpg,1280,720
Trash,734,500,240,119,image_20250419_164217.jpg,1280,720
