epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.558,1.74349,2.32074,1.61357,0.91529,0.69444,0.80491,0.52784,1.46141,2.23986,1.36501,0.00036,0.00036,0.00036
2,294.068,1.08711,1.15014,1.21178,0.89616,0.83333,0.89378,0.59397,1.34564,0.90919,1.33633,0.000732674,0.000732674,0.000732674
3,429.327,0.97858,0.90668,1.14799,0.96935,0.84259,0.93791,0.67132,1.10628,0.78126,1.20042,0.00109782,0.00109782,0.00109782
4,565.664,0.91255,0.79994,1.1072,0.99008,0.9246,0.97181,0.72,0.89984,0.63918,1.08955,0.00145545,0.00145545,0.00145545
5,701.8,0.87696,0.71942,1.08771,0.99548,0.93519,0.98335,0.74195,0.88959,0.54262,1.05016,0.00180555,0.00180555,0.00180555
6,838.507,0.86272,0.67925,1.07815,0.98758,0.9537,0.98283,0.71246,0.80728,0.55437,1.00511,0.001901,0.001901,0.001901
7,977.749,0.87397,0.65781,1.06328,0.97679,0.98148,0.98337,0.7404,0.74628,0.74649,0.98446,0.0018812,0.0018812,0.0018812
8,1115.43,0.88211,0.64295,1.07804,0.96984,0.98148,0.98395,0.74856,0.83013,0.53232,1.019,0.0018614,0.0018614,0.0018614
9,1251.36,0.82167,0.59016,1.05582,0.98532,0.96296,0.98432,0.74966,0.8004,0.81165,1.00356,0.0018416,0.0018416,0.0018416
10,1385.75,0.84527,0.61786,1.0775,0.98596,0.97222,0.98447,0.7589,0.73604,0.68995,0.99265,0.0018218,0.0018218,0.0018218
11,1521.85,0.83082,0.61207,1.03711,0.98386,0.97222,0.98471,0.76326,0.97318,0.65063,1.10766,0.001802,0.001802,0.001802
12,1652.82,0.78642,0.55341,1.02013,1,0.97081,0.98465,0.76222,0.82865,0.55101,1.02875,0.0017822,0.0017822,0.0017822
13,1787.46,0.79534,0.54429,1.03974,0.9865,0.97222,0.98527,0.7659,0.93759,0.59282,1.10949,0.0017624,0.0017624,0.0017624
14,1925.67,0.79068,0.53607,1.00683,0.99003,0.98148,0.98494,0.74287,0.68309,0.47466,0.95889,0.0017426,0.0017426,0.0017426
15,2062.66,0.74415,0.51948,1.0023,0.97855,0.97222,0.98367,0.77009,0.83001,0.78197,1.03052,0.0017228,0.0017228,0.0017228
16,2194.78,0.7587,0.50566,1.01784,0.99312,0.96296,0.98558,0.80133,0.69244,0.5661,0.9606,0.001703,0.001703,0.001703
17,2326.04,0.7466,0.51303,1.01667,0.99801,0.98148,0.98574,0.78105,0.68851,0.4562,0.94772,0.0016832,0.0016832,0.0016832
18,2461.27,0.75865,0.51907,1.02175,0.99778,0.98148,0.98567,0.79297,0.76226,0.48411,0.98682,0.0016634,0.0016634,0.0016634
19,2601.7,0.75206,0.50886,1.01643,1,0.97044,0.9853,0.78915,0.75927,0.57862,0.98475,0.0016436,0.0016436,0.0016436
20,2736.82,0.76301,0.50913,1.00225,0.99666,0.97222,0.985,0.77616,0.81946,0.7626,1.0199,0.0016238,0.0016238,0.0016238
21,2872.06,0.72235,0.48311,1.00337,0.96305,0.96534,0.9843,0.7844,0.77839,0.72141,1.00094,0.001604,0.001604,0.001604
22,3008.1,0.70221,0.47064,0.97656,0.97614,0.96296,0.98268,0.79991,0.67799,0.61273,0.94022,0.0015842,0.0015842,0.0015842
23,3087.2,0.7132,0.45541,0.99316,0.97213,0.96885,0.98278,0.80812,0.77946,0.43435,0.9955,0.0015644,0.0015644,0.0015644
24,3160.97,0.70133,0.46963,0.98449,0.96974,0.98148,0.98515,0.7912,0.69065,0.44826,0.93831,0.0015446,0.0015446,0.0015446
25,3244.44,0.71837,0.46723,0.98005,0.98357,0.97222,0.98405,0.78891,0.63578,0.38872,0.91161,0.0015248,0.0015248,0.0015248
26,3323.44,0.7243,0.48203,0.99242,1,0.97141,0.98394,0.80639,0.67303,0.41377,0.93866,0.001505,0.001505,0.001505
27,3399.95,0.70324,0.46332,0.99448,1,0.97904,0.98653,0.80879,0.8194,0.43187,1.04203,0.0014852,0.0014852,0.0014852
28,3473.72,0.68773,0.46708,0.98824,0.98034,0.98148,0.98528,0.80438,0.85478,0.67854,1.03898,0.0014654,0.0014654,0.0014654
29,3550.14,0.7143,0.46209,0.9754,0.97919,0.97222,0.98543,0.80508,0.71898,0.49949,0.95196,0.0014456,0.0014456,0.0014456
30,3623.71,0.67788,0.44367,0.96197,0.9978,0.97222,0.98601,0.80979,0.72089,0.46346,0.96081,0.0014258,0.0014258,0.0014258
31,3700.66,0.71793,0.47879,0.99831,1,0.97199,0.986,0.80068,0.87804,0.4795,1.09214,0.001406,0.001406,0.001406
32,3775.01,0.68182,0.45812,0.97021,0.98941,0.98148,0.98655,0.80279,0.70365,0.41549,0.95969,0.0013862,0.0013862,0.0013862
33,3849.71,0.6803,0.4468,0.96449,0.98104,0.98148,0.98609,0.76588,1.11788,0.50966,1.3136,0.0013664,0.0013664,0.0013664
34,5584.82,0.66991,0.43504,0.95211,0.98723,0.97222,0.98506,0.80603,0.8405,0.49507,1.03125,0.0013466,0.0013466,0.0013466
35,5649.73,0.69723,0.42972,0.96315,0.99056,0.972,0.977,0.79302,0.67038,0.39026,0.93524,0.0013268,0.0013268,0.0013268
36,5715.09,0.68227,0.42255,0.95667,0.99595,0.97222,0.98698,0.81308,0.77677,0.4303,0.98789,0.001307,0.001307,0.001307
37,5779.02,0.66584,0.42526,0.9575,0.99432,0.97222,0.9869,0.80094,0.91273,0.43473,1.10321,0.0012872,0.0012872,0.0012872
38,5844.82,0.64395,0.41227,0.94962,0.99513,0.98148,0.98676,0.82511,0.75742,0.40806,0.98284,0.0012674,0.0012674,0.0012674
39,5910.67,0.64624,0.4189,0.97568,0.99808,0.98148,0.98728,0.83484,0.72311,0.42685,0.95646,0.0012476,0.0012476,0.0012476
40,5975.69,0.66801,0.4148,0.95108,0.99944,0.98148,0.98649,0.81314,0.86064,0.41768,1.04819,0.0012278,0.0012278,0.0012278
41,6042.72,0.66007,0.41247,0.93574,0.99888,0.98148,0.98623,0.81825,0.73368,0.39986,0.98072,0.001208,0.001208,0.001208
42,6107.13,0.65956,0.40729,0.94951,0.99065,0.98133,0.986,0.80177,0.79556,0.41252,1.00822,0.0011882,0.0011882,0.0011882
43,6171.67,0.64796,0.41011,0.95835,0.99047,0.96259,0.97826,0.81709,0.96076,0.45628,1.17598,0.0011684,0.0011684,0.0011684
44,6237.33,0.64598,0.41291,0.97288,0.99829,0.96296,0.97946,0.81832,0.85899,0.42697,1.08494,0.0011486,0.0011486,0.0011486
45,6302.19,0.65561,0.42721,0.95502,0.99652,0.98148,0.98748,0.82661,0.86236,0.38922,1.08995,0.0011288,0.0011288,0.0011288
46,6365.5,0.60974,0.40128,0.9343,1,0.98008,0.98773,0.83688,0.76029,0.38861,0.998,0.001109,0.001109,0.001109
47,6432.68,0.64082,0.41285,0.95692,0.99868,0.98148,0.98672,0.82561,0.58853,0.34316,0.87851,0.0010892,0.0010892,0.0010892
48,6498.59,0.63984,0.40462,0.95609,0.98143,0.97864,0.9863,0.80748,1.04774,0.45445,1.27723,0.0010694,0.0010694,0.0010694
49,6566.03,0.64696,0.40132,0.95132,1,0.97069,0.98678,0.8206,0.83747,0.50244,1.03562,0.0010496,0.0010496,0.0010496
50,6630.81,0.62941,0.39734,0.94785,1,0.98064,0.98697,0.82442,0.87579,0.41471,1.06847,0.0010298,0.0010298,0.0010298
51,6698.17,0.5848,0.37359,0.93505,0.99063,0.97872,0.98712,0.8259,0.68108,0.36569,0.94803,0.00101,0.00101,0.00101
52,6762.4,0.62385,0.40168,0.94373,0.99881,0.98148,0.98717,0.82475,0.82829,0.37312,1.0504,0.0009902,0.0009902,0.0009902
53,6826.8,0.59436,0.39437,0.94659,0.99877,0.98148,0.98724,0.83726,0.81756,0.41492,1.03983,0.0009704,0.0009704,0.0009704
54,6892.89,0.60889,0.38463,0.92859,0.99065,0.98142,0.98706,0.83241,0.77884,0.37802,1.00554,0.0009506,0.0009506,0.0009506
55,6957.24,0.58962,0.37598,0.92568,0.99899,0.98148,0.98737,0.81897,0.72375,0.40348,0.9624,0.0009308,0.0009308,0.0009308
56,7018.92,0.57493,0.38079,0.93124,0.99065,0.98053,0.98666,0.82929,0.7529,0.47294,0.9986,0.000911,0.000911,0.000911
57,7089.8,0.60884,0.38247,0.93824,0.9906,0.97609,0.98675,0.82687,0.66296,0.36174,0.91931,0.0008912,0.0008912,0.0008912
58,7156.02,0.59317,0.37053,0.92923,0.99821,0.98148,0.98743,0.823,0.74602,0.38493,0.96408,0.0008714,0.0008714,0.0008714
59,7217.79,0.57791,0.37897,0.92585,0.99558,0.98148,0.98694,0.81842,0.74418,0.37233,0.98933,0.0008516,0.0008516,0.0008516
60,7284.96,0.60176,0.38823,0.93754,0.99964,0.98148,0.98695,0.82581,0.72914,0.38065,0.97193,0.0008318,0.0008318,0.0008318
61,7350.99,0.59968,0.37785,0.9333,0.99818,0.98148,0.98738,0.83184,0.75332,0.39058,1.01334,0.000812,0.000812,0.000812
62,7416.08,0.59323,0.36924,0.9178,1,0.98139,0.98748,0.82868,0.68749,0.37843,0.93915,0.0007922,0.0007922,0.0007922
63,7481.72,0.58325,0.37515,0.91144,0.99867,0.98148,0.98748,0.82162,0.77964,0.37088,1.03165,0.0007724,0.0007724,0.0007724
64,7547.33,0.57117,0.35969,0.92253,0.99845,0.98148,0.9877,0.83715,0.83715,0.39822,1.10979,0.0007526,0.0007526,0.0007526
65,7610.82,0.59529,0.36613,0.93292,0.998,0.98148,0.98789,0.83775,0.78792,0.40061,1.01934,0.0007328,0.0007328,0.0007328
